employee_id,name,age,salary,department,email,join_date,city,performance_score
137,Jacob Jackson,41,43251.2,sales,hlewis@harris.com,2021-03-12,Utrecht,2.59
629,ALEXANDRA HENRY,64,55835.87,HR,laurawilson@hotmail.com,2017-02-18,Rotterdam,1.37
185,Aaron Hinton,39,51648.06,Sales,pachecorichard@yahoo.com,2022-03-30,amsterdam ,1.47
32,christopher parker,34,82784.17,IT,jimmyyoung[at]burton.com,2024-01-21,Utrecht,3.91
678,Lori Manning,55,81284.06,HR,adkinsgeorge@moore-hicks.biz,2017-09-09,Rotterdam,2.58
937,Andrea Davis,35,39681.51,HR,john01@mcfarland-patel.com,2017-12-25,Utrecht,4.96
290,Terry Fernandez,60,45659.51,sales,russellrichardson@yang.com,2023-08-26,The Hague,2.13
328,Cassandra Benton,61,66874.94,sales,dnelson@hotmail.com,2024-04-30,eindhoven,1.95
492,Amy Smith,25,77199.16,IT,vpierce@ramirez-alvarez.com,2020-02-03,Amsterdam,3.56
395,Stacey Reese,57,72691.6,Marketing ,brady37@briggs.biz,2025-10-30,The Hague,4.24
667,JOSHUA PARRISH,55,51175.34,Marketing ,elizabethromero@hall-miller.net,2021-05-15,The Hague,4.1
546,Samuel Macias,25,43046.57,Sales,xmeyer@rice-morales.com,2021-12-12,Amsterdam,2.92
EMP-870,Brandon Chan,33,85153.07,Sales,timothyramirez@blackwell.net,2017-12-18,Utrecht,4.34
762,Carolyn Miller,23,56830.15,Sales,flemingjames@hotmail.com,2022-06-21,eindhoven,-1
,Karen Kline,42,74003.67,HR,sandramurphy@yahoo.com,2024-08-01,Utrecht,2.12
77,Rachel Moore,61,56305.71,HR,kochamy@yahoo.com,2023-11-05,Amsterdam,4.04
774,Michelle Garcia,50,69588.32,IT,heather61@hotmail.com,2026-04-16,amsterdam ,1.99
851,OSCAR MAYO,47,45652.89,IT,jason02@evans.com,2019-08-21,eindhoven,2.13
332,Thomas Shannon,63,41541.18,Sales,sfernandez@ortega.com,2018-06-27,Amsterdam,4.09
630,Nathaniel Franklin,-5,71412.87,sales,jamescoleman@brown.com,2021-03-08,The Hague,1.44
